,singer_name,birth_year,death_year,years_active,other_occupations,instruments_played,personal_life,career
79,Sisira Senaratne,1935,2015,1950–2015,"singer, playback singer",Vocals,"Sisira was born on 29 March 1935 in Chilaw. He was educated at Maradana Central College and Nalanda College, Colombo. He also worked at Sri Lanka Customs. His father was Henry Soloman Senaratne and mother was M. A. Leelawathi. Sisira's mother died when he was an infant, whereas his father married second time. Therefore he was raised by his grandfather who was an Ayurvedic doctor.He was married to Indrani Wijebandara, who was also a popular singer. Indrani was born on 15 July 1935 and she was educated at Musaeus College. Sisira and Wijebandara first met at the moment of departure for Madras on an Air Ceylon flight for the music recordings for the film Rekava. They married on 31 May 1962. On 21 June 2019, Indrani was attended to the National Hospital of Sri Lanka due to breathing difficulties. After two days of treatments, she died on 23 June 2019 at the National Hospital at the age of 83. The funeral took place on 27 June 2019 at Borella Cemetery.The couple has two sons Sanjaya and Sameera; and one daughter Subhani. Eldest son Sanjaya lives in Germany and is married to German lady Anjalika and lives with children. The youngest son Sameera is involved in the singing field and he has his father's voice as well as an executive at Unilever. Subhani was initially educated at Anula Vidyalaya and later from Musaeus College. The two younger brothers are from DS Senanayake College. Subhani is married to Sumith Wijethilaka who is a Hydroelectric Consultant. They have one son Tharindu and one daughter Subhani.Sisira died on 4 February 2015 at the age of 79 while receiving treatment at National Hospital of Sri Lanka. Funeral services was held at Borella Cemetery on 7 February 2015 evening.   ","He started composing songs at the age of twelve where he wrote and composed his first solo song for the voice of Dharmadasa Walpola. Meanwhile, at the age of 14, T. F. Latheef and Sirisena Wimalaweera made it possible for him to identify Dr. Lester James Peries. Peries selected Sisira for Sri Lanka's first outdoor film as well as Peries' first feature film Rekava. His song Olu Nelum Neriya Rangala for that film earned him a reputation as one of the most popular playback singers in Sri Lanka. And then he involved with Herbert M. Seneviratne, Shelton Premaratne for classical songs as well as film playback singing.He rendered his voice for many films in the 1950s and 1960s such as Sirakaruwa, Gehenu Geta, Hadisi Vivahaya, Daskon and Wana Mala. He sang duets only with his wife Indrani.In 1966, Senaratne won the award for the Best Music Director at 3rd Sarasaviya Festival for the film Handapana. At 1st Radio Award Festival in 1970, he won the award for the Best Male Singer for the song Mage Puthuta Mal in the film Punchi Baba. In 1997, he was honored by ""Swarna Jayanthi"" Award at the 11th Presidential Film Festival. Sisira had composed the melody for every song sung by Indrani since 1957. Sisira, with his wife Indrani, conducted concerts titled ‘Sisindra’ in Sri Lanka and around the world, including Canada, United Kingdom, United States of America, Dubai, Australia, Germany, Switzerland and Italy. The first ""Sisindra"" concert in Sri Lanka was held on the 20th at 6.30 pm at the Kularatne Hall of Ananda College, Colombo. The autobiography ""Ranpiyawara"" written by Wijebandara and the album ""Iresha"" featuring the songs of the Sisira– Indrani couple were also released at that occasion. The book contains information about their fifty-five-year artistic life.The Customs Department where he worked organized a concert called 'Sisirasa' under the patronage of its Superintendent Ashoka Ratnayake and others.   "
80,My Vitriol,,,"1999–2002, 2005–present",,,,
81,Stanley Peiris,1941,2002,,"Saxophonist, composer, teacher",Saxophone,"Stanley Peiris was born in Kandy on 12 June 1941 and attended St. Anthony's College, Kandy. He learnt music at the Kandy M.G.C. institute and later joined the Sri Lanka Navy. He then formed a music group, Fortunes, which specialised in performing instrumental music, an innovative idea in the Sinhala pop scene.   ",
82,Stigmata (Sri Lankan band),,,1998–present,,,,
83,Sunflowers (band),,,,,,,"Sunflowers performed their first show on 4 September 1983 in Dankotuwa. The original band consisted of Neil Warnakulasooriya, Nelson Vas, Ivor de Mel, Mahinda Silva and Athula Adhikari.   "
84,Sunil Edirisinghe,1949,,1969 – present,Musician,Vocals,"  Edirisinghe was born the youngest of seven children to Patikirige Edirisinghe and Ushettige Elizabeth Perera; he grew up in Waragoda Kelaniya amongst a blooming rubber industry.Edirisinghe began his schooling at Sri Dharmaloka Vidyalaya in 1955. He moved on to Sapugaskanda Maha Vidyalaya in 1968 and subsequently Delgoda Kalyana Pradeepa Pirivena where he studied for his A/L examamination.   Edirisinghe has six siblings. The eldest Dharmasri was involved in fine arts. His sister Mercy was a music teacher; his brothers Satischandra and Nimal went into film.Edirisinghe met his future wife Nandani ""Kumudu"" Munasinghe on a visit to Kandy. They were married in 1979 and had their first child Sankha Chamindra Edirisinghe the following year. In 1985 their daughter Sankani Edirisinghe  was born.   ","  After completing his secondary education in 1969, Edirisinghe began working for the Government Printing Corporation. He debuted as a playback singer that year singing ""Sandakada Pahana"" for his brother Satischandra's film Matara Achchi. The song was composed by Victor Ratnayake and written by Wally Nanayakkara.Edirisinghe studied music at Visharada P.V. Nandasiri's Academy of Music and University of Laknaw, India in the early 1970s. In 1975 Edirisinghe graduated with first class honors from the prestigious Bhathkhande Academy of Music in India. He joined the Sri Lanka Broadcasting Corporation soon after. In 1980 Edirisinghe released his first cassette Chandra Mandala.To celebrate his 70th birthday, he has organized a felicitation ceremony will be held on 19 December 2019 at 3 pm at Sri Lanka Foundation Institution. Meanwhile, a book titled The Spiritual Tune of the Sunil with a scholarly exploration of what he has done with singing is published by Samudra Wettasinghe. Another book, written by  Pushkara Wanniarachchi under the title Sunila Siritha - Sunil Edirisinghe Divi Sariya.In 2021, he released his first L.P. album with the tile ""Sunila Yamaya"". It features a concert presentation with eighteen popular songs and a few short dialogues.   "
85,Sujatha Aththanayaka,1942,,1950–present,"Songstress, Lecturer, Director of Ministry of Education","Vocals, sitar, tabla, violin, guitar, haromonium"," She was born on 12 May 1942 in Kelaniya as the third of the family with five siblings. Her father Mudunkotuwa Munasinghe Arachchige Dharmadasa Perera was a police sergeant. Her mother Gertrude Margaret Wolboff aka Vimala Kantha was a tower hall actress and singer. She started education in 1947 from Wedamulla Maha Vidyalaya, Kelaniya. She has two sisters and two brothers. Her sister Ranjani Perera is a renowned dance teacher and younger brother Susil Perera is a popular comedian and a musician.She is married to Navaratne Aththanayaka. She met Navaratne at the State College of Music. The couple has three sons - Hely Sajeewa, Chanaka, Samin. Her second son Captain Chanaka Sanjeewa died on September 25, 1992 in Pooneryn during Eelam War II. Since his death, Aththanayaka quit from singing and start to wear white sarees.After his son's death, she left Sri Lanka for America in 1992. Due to the huge fan demand, she performed a series of successful concerts titled Jeevana Vila Meda in 2012.   ","In 1950, she song Malse Dileva for a feature program in SLBC. After school life at the age of 18, she studied at the State College of Aesthetic and then from State College of Music in 1960.  At first she was a lecturer at the Kalutara Teachers Training College and then became a Director of Education (Music) at Ministry of Education, Sri Lanka. In 1967 she went India to complete a master's degree and ""Visharadha"" Exams from Lucknow College of Music in singing and playing sitar. After returning, she started to work at Radio Ceylon becoming the only female singer to perform classical music programs on Sri Lanka Radio. He retired as the Director of Aesthetic Education. In 1958 she became the first Sinhalese singer who sang a Hindi song for the program “Bal Sakha”.In 1975, she became the first Sri Lankan female music director and directed music for films such as Hariyata Hari and Sanda Kinduru. Apart from music direction, Aththanayake involved as a playback singer and radio drama singer for many years started with 1956 film Sohoyuro at the age of 14. She sung several popular playback film songs such as Jeewana Vila Meda, Maligawe Ma Rajini, Onchilla Thotili, Guwan Thotille, Herde Rasa Malige, Parawunu Mal Wala and Puthune Me Ahaganna. She recorded four playback songs for four films in one day, which is a record in Sri Lanka. The first song was recorded at Kandana S. P. M. studio. The second song was done in the afternoon at Hendala Vijaya Studios. The third song was recorded at the University of Kelaniya studio and the fourth song was recorded at Lanka Studios. She sang playback songs for nearly 400 Sinhala Films. In 1979, a special music test conducted by the Sri Lanka Broadcasting Corporation won the first place in the rankings, beating all other singers.She is the only singer to perform in India where she sang from different languages such as Hindi, Tamil, Urdu, Telugu, Malayalam, Marati, English and Nepali. In 1980, she had the opportunity to sing the song Subha Kamina at the President's House when Nepal King Birendra and Queen Vimla arrived Sri Lanka. She was the first Sinhala singer to perform a Nepali song in the Asian Hindi Service. She also performed a Tamil one-man concert Swaram in Bambalapitiya as well as an Islam concert Ilampirai Geethangal in Maradana. She sung Tamil songs for 20 Tamil Films. She sang playback songs for Indian actresses like Radhika Sarathkumar, Thanuja Mukherjee & Vaijayanthimala.Her husband was the musician  in some of her popular songs including Aganthuka Kurulla, Bolan Podi Nangi Tikak Hitapan, Jeewathwana Thuru Ma, Neth Wasa and Wessata Themi Themi. Apart from singing, she is a talented Katak dancer who studied under Sirimathi Rasadari. In 1985, she represented Sri Lankan cultural delegation for the SAARC Summit. In 1992, after the death of son, he launched a cassette ""Yuda Bima Kandulak"" to commemorate the his son's first death anniversary.She sang more than 6000 Sinhala songs and 1000 Tamil songs. She also involved with many popular duets including; Obe Namin, Banda Jaya Keheli with Amaradeva Sandun Sihil, Adara Pujasane with Victor Rathnayake, Koho Koho Kohe Idan with Sanath Nandasiri, Bonda Meedum Kandurelle with Abeywardena Balasuriya, Chandrame Ra Paya Awa, Ghana Andakarayen Midi with H.R. Jothipala, Piruna Hada Santhane, Gangawe Neela Jale with Harun Lanthra, Madhura Yame with R. Muttusamy, Pera Athmayaka with Milton Perera and Pushpa Makarandaya with Narada Disasekara.In 2016, she directed the music for the Sri Lanka Police theme song and later she composed the theme song of Sri Lanka Special Task Force (STF).   "
86,Sunil Perera,1952,2021,1969–2021,Musician,"Vocals, Bass guitar","Perera was born on 14 September 1952 in a family with ten siblings. His father, Anton Perera, was in the military before becoming a musician and forming the original Gypsies band. Anton was a clerk at the government Postal Department and also run a sweet production company called ""Glucorasa"". His mother was Dorine Perera. He started his education at St. Sebastian's College, Moratuwa until grade four and then until finishing school in the St Peter's College, Colombo. During his school days he was also a member of the college band. When he was 11 years old, he became a guitarist.Perera was married to Geetha Kulatunga who was born on 18 March 1967, whom he met while she was studying for her O/L classes. She also meets Sunil while he is attending a concert. Kulatunga's father, Mahinda, is a sub-inspector with the Sri Lanka Police. On 25 October 1981, Perera was arrested by police in Homagama following reports from Kulatunga's parents that he had abducted her; the case was later dropped. When Kulatunga was aged 16, she and Perera got engaged.He had two sons: Sajith and Gayan, and two daughters: Rehana and Manisha. Eldest son Sajitha is married to the daughter of famous singer Dalreen Suby. His younger son, Gayan is a musician who formed the band ""Daddy"". His nephew, Lanthra Perera is also a musician and the founder-member of the band ""Doctor"".In August 2021, Perera tested positive for COVID-19 and rumors of his death started circulating on social media. In spite of treatment, on 5 September, he was re-admitted to hospital due to pneumonia and died in the early hours of 6 September 2021, one week before his 69th birthday.   ","At the age of 11, he started to play guitar. His father initially expected him to pursue his higher studies and then to make him a professional doctor. However, he was not able to pursue his higher education due to inadequate results in GCE O/L examinations. His father made arrangements for Sunil to do GCE O/L examination privately, but Sunil again could not produce expected results in order to further continue his studies. Sunil later conveyed his interest in music to his father. In 1969, at the age of 15 when he left school, Sunil joined the band The Gypsies created by his father, Anton Perera, along with his brothers – Nihal, Lal, Nimal, Piyal and uncle's son Neville; there were seven of the crew in all. He learned guitar under Vincent Jayawardane and George Ferdinando and had voice training under Loren Abeysekara, Lily Godridge and Maryanne David.Later, The Gypsies group consisted of his own brothers and cousins. Accordingly, Nihal, Lal, Nimal and Piyal formed a group of seven including two cousins. Sunil was the main vocalist of the band, along with his brother Piyal Perera. His father also built a studio for the band next to the house on Galle Road in Ratmalana where they were staying at the time. In the '70s, they released nearly 5 albums titled 'Dance with Gypsies'. Their first hit ""Linda Langa Sangamaya"" was released in 1972/1973 along with ""Amma Amma Me Mata"". In the mid-1970s, his other brothers left the band and got involved in business activities. In 1980, the Gypsies released the first cassette with the song ""Kurumitto"". Other tracks sung by Gypsies include, ""Kadapathakin"", ""None Mage Sudu None"" (1977), ""Lunu Dehi"" (1987), ""Uncle Johnson"" (1987), ""Oye Ojaye"" (1989), ""Piti Kotapan None"" and ""Signore"" (1997). Their song 'Lunu Dehi' released in 1987 was a song that made an amazing difference on the concert stage in the country. In the year 1997, they changed the course of the music field with the song ""Piti Kotapan None"".Sunil's recent works, such as ""I Don't Know Why"" address sociopolitical issues through humor. However, several of his songs have been banned by the state media due to their criticisms of the government. In 2017, he released the song ""Koththamalli"". He also sang and released ""Buongiorno"" in 2018, which was the first hit song to be released under the Gypsies label after a gap of four years. In 2019, he sang the song ""Diyawannawe Inna"" for the film Jaya Sri Amathithuma.The band The Gypsies celebrated their Golden Jubilee in 2021 by arranging a concert via virtual platforms.   "
87,Sunil Santha,1915,1981,1945–1981,Composersingersongwriter,Vocals,"Sunil Santha was born on 14 April 1915 on the Sinhalese New Year's Day in Dehiyagatha, Ja-Ela, Sri Lanka. Both his parents died before he was two years old, and Santha was raised by his grandmother. At an early age he came to the limelight when he played king Dutugamunu in a village play. One villager adorned him with a battery-powered lighted necklace. He had his education at Dehiyagatha Vidyalaya, St. Benedict's College, Colombo and Thudella school.At St. Benedict's College, Santha passed the school leaving certificate examination as the first in the island, with the highest marks in his class as a young adult and was awarded the Weeraratne award. In 1933, he completed the Teachers Final Examination and began work as a teacher at the Mt. Calvary School currently known as St. Aloysius' College, Galle. While tenured there, Santha led the school to three consecutive victories at the Southern Schools Music Competition. In 1939 he passed the Intermediate Gandarva Examination and received a certificate in physical training. He also learned to play the piano and guitar at that time. He acted and produced several dramas including ""Hamlet""  during this period.In 1952, he married school teacher Bernadet Leelawathi Jayasekara.  Santha died on 11 April 1981 from a heart attack shortly after his son Jagath drowned under mysterious circumstances in a swimming pool.   ","In 1940 Santha gave up teaching and travelled to Shantiniketan to study music. The following year Santha enrolled at the Bhatkhande Music Institute and worked to get his Visharadha Degree in 1944. He passed the final exam as the first in the first division in Sitar and Vocals, the first non-Indian Asian to do so. Joseph graduated in “Sangeetha Vishaarada” from the Bhathkanda University of Musicology and returned to Sri Lanka in 1952 and shunned his English name, Joseph John and adapted Sunil Santha. He then adopted the name ""Sunil Santha"". During his studies in India he regularly contributed to Sri Lankan newspapers. On 2 March 1946 Santha held a recital for the Kumaratunga Commemoration ceremony and was asked to record for Radio Ceylon. Over the next six years, he would have a string of popular songs including ""Olu Pipila"", ""Handapane"", ""Ho Ga Rella Negay"", ""Bowitiya Dan Palukan Vare"", ""Suwada Rosa Mal Nela"", ""Kokilayange"", and ""Mihikathanalawala.""  The song ""Olu Pipila"" is the first song to be recorded at then Radion Ceylon. Santha stressed his Sinhala heritage in his songs opting to sing in Sinhala rather than English and not copy Hindustani and Tamil songs of India. In the meantime, he joined Hela Havula literary association. A diligent songwriter himself, Santha sang songs written by lyricists like Huberth Dissanayake, Kumaratunga Munidasa, Raipiyel Tennakoon, Arisen Ahubudu and Fr. Marcelline Jayakody.In 1952, Santha was banned from Radio Ceylon after refusing to audition for Indian musician Ratanjankar, whom the corporation had brought from South India to oversee the direction of music on their stations. Santha experienced monetary problems after being terminated from Radio Ceylon. His songbooks were plagiarised, his songs were sold without consent or royalties by copyright violators. He tried his hand at various trades like photography, selling clothes and electronics over the next few years.In 1953, Santha started a small school at the Maradana Newton building, vowing to teach 10 pupils for free. He often helped fellow artists and promising talent. He wrote to newspapers about the plight of Ananda Samarakoon and tried to bring attention to the composer of the national anthem.  At a time when Albert Perera (later known as W.D. Amaradeva) who used to play violin at Sunil's performances, was in need of help, Sunil gave him two of his music classes at Panadura to teach and make a living.  Sunil also helped collect money to send Amaradewa for further studies in India.In 1955 journalist DB Dhanapala started a campaign to expose Santha's plight and raised some money through his column on Lankadeepa. In 1967 Director General Mr. Neville Jayaweera asked Santha to come back to the national radio service. Santha worked with W.D. Amaradeva and H. W. Rupasinghe to audition the artists. Sunil Shantha was the first to compose the world's first one note song which is a masterpiece, in 1967. It is named as ""Gum Gum Gum"" (Wasp Song), which is sung in the tune of a Wasp's hum. In Sinhalese, the song is called as ""ගුම් ගුම් ගුම් (බඹර ගීය)"". Sunil Shantha used to sing this masterpiece along with his colleague Ivo Denis for the performances and for the Radio Ceylon by the time. Santha moved into his uncle's house in 1970 as he was evicted from the rental house he lived in. In 1977 a record titled Sunil Gee was produced. In 1980, a record titled Seegiril Gee was produced. This contained a set of songs written and composed by Sunil with melodies using only four notes. The lyrics were based on Sigiri Kurutu Gee (sigiri graffiti). The songs are remarkable in that they used traditional Sri Lankan drums and other instruments to create a unique sound.   "
88,Sahan Ranwala,1978,,1996–present,"Actor, dramatist",,"Sahan Ranwala was born on July 3, 1978 in Nugegoda as the second of the family with two siblings. He started education at Ashoka Vidyalaya, Maradana. After passing grade 5 scholarship examination, he went to Ananda College. At school, Sahan was the Chairman of Drama Society and the Treasurer of Broadcasting Unit. He did A/L from commerce stream and selected to the University of Colombo. His elder brother Chirantha is a television announcer and also an actor. His father Lionel Ranwala was an icon in Sri Lanka music industry who performed folk music in Sri Lanka. Lionel is the founder of Ranwala Balakaya. Sahan is a graduate from Drama and Theater at University of Kelaniya. He also has a Diploma in Journalism at the University of Sri Jayewardenepura and degree from Sri Lanka Law College.He is married to Melani Ranwala and the couple has one son, Seth Ranwala.   ","Sahan started his career under his father Lionel in his folk music group called Ranwala Balakaya. After the death of father, Sahan started to continue his legacy by conducting folk musical programs all over the country. After three years of father's death, Sahan presented folk musical program Yuddetath Awith. He also conducted concerts such as Gama Avlanynaan, Ahasei Innawalu, Three and Mei Avurudu Kaale. He also able to perform at the local festivals in Galle, Colombo and Jaffna Music Festivals and international festival such as CHOGM. In 2003, Ranwala started Ranwala Lama Balakaya for youngsters between the ages of 10–15.In 1996, Sahan worked as an announcer at Sirasa TV by presenting the program Kala Kalasa. Sahan started acting career in 2003 with television serial Ranga Madala Samuganee directed by Milton Jayawardhane.His drama Velava Keeyada? was selected for the finals of State Drama Festival in 2009. He currently conducts a children's program Puduma Iskole.In 2011, Ranwala Balakaya won the award for the ""Best Performing Folk Song Troupe"" at the Folk Songs Festival at Guangxi, China. He is the author of the book titled Welawa Keeyada. He conduct a course on folk songs in Battaramulla on every Sundays. Ranwala Balakaya released Gama Avulannan and Yuddhetath Evith in VCD and DVD formats.In 2012, Sahan initiated a musical program Gayamu at BMICH Kamatha. In 2016, he organized Jana Gee Ekassa and Dekassa presentation for children at the Bishop's College Auditorium.Sahan started his film career with Aadaraneeya Wassaanaya back in 2004, directed by Senesh Dissanaike Bandara with a supportive role.On 1 December 2019, he along with Ranwala Balakaya organized a folk musical show titled ""Ran Salakuna"", which will be held at Kularatne Hall, Ananda College, College. In January 2021, he released ""Ranwala Lanka e-school"" which covers a wide range of subjects including folk songs and performing arts, drumming and art and is planned to be held under two syllabi, internationally and locally.   "
77,Bathiya and Santhush,,,1998–present,,,"Santhush Weeraman was born on the 5th of September, 1977 to Nalaka Weeraman, a retired marketing director at Richard Pieris.  He is the elder brother of the singer Dushyanth Weeraman.   ","He started his education in Holloway Primary School in India and upon return in 1984, he entered Isipathana College, Colombo for a brief period. In 1988, he joined Ananda College, Colombo, where he later held the position of Deputy Head Prefect in 1995 and was decorated as a President Scout of the Scout Troop in 1994. After his secondary education at Ananda College, he completed his degree and obtained BSc (Hon) Business from the Manchester Metropolitan University, UK.   Santhush studied at Royal College, Colombo where he excelled at both music, art, & sports as well as academics. He completed his Bachelors degree, with a double major in Marketing and Management.   "
90,T. M. Jayaratne,1944,,1970 – Present,"Vocalist, Violinist, Music teacher",,  Jayaratne is married to Malini Jayaratne and has two children. His son Isuru Jayarathne is also a singer.   ,
91,Tanya Ekanayaka,,,,Composer-Pianist,,"She began studying the piano at the age of five, and at the age of 12 made her debut recital. At the age of 16, as youngest competitor and joint winner of the biennial concerto competition of the Symphony Orchestra of Sri Lanka, she performed her first concerto.   ","Ekanayaka's debut album of compositions for solo piano composed, performed and produced by her, Reinventions: Rhapsodies for Piano, came out in 2015. It represents the first album of works solely by a composer of Sri Lankan nationality to be released by a major international label.  Each work in the album builds upon a motif inspired by the tonality of the works which preceded it in its primary concert performance and adaptations of melodies belonging to genres of Sri Lankan traditional and folk music.Twelve Piano Prisms, her second solo album of works for the piano, was released on 14 September 2018.Ekanayaka's debut album contains adaptations of 10 of the 18 Sri Lankan Vannams while her second album contains adaptations of the remaining 8 Vannams along with adaptations of indigenous and traditional melodies of Armenia, China, Japan, the United Kingdom and the United States of America.The Planets & Humanity - Piano Reflections, her third solo album of works for the piano, was released on 14th May 2021. The works in this album correspond to reflections on the eight planets of earth’s solar system and earth’s seven continents and most contain trans-creations of melodies of indigenous peoples of Africa, Asia, Australia/Oceania, Europe, North America and South America, specifically, melodies of the Asháninka, Cree, Gond, Hadza, Numbulwar and Sámi people. She also developed a music composition project from 2012 to 2014. The project aimed to assist war-affected and impoverished Sri Lankan school children recovering from the country's thirty year civil war.Ekanayaka holds a Bachelor of Arts (Honours) degree from the University of Peradeniya and a Master of Science degree and PhD from the University of Edinburgh. She is a Fellow (FTCL) of the Trinity College of Music (UK), a Licentiate (LRSM) of the Royal Schools of Music (UK) and Licentiate (LGSMD) of the Guildhall School of Music & Drama (UK) which awarded her its Professional Performer's Diploma (PPD) in 1999.She was a member of the academic staff of the University of Peradeniya from 2003 until 2011. Since 2007 she has been a member of the part-time academic staff of the University of Edinburgh.She is ambidextrous and has a synaesthesia, which influences her style of play and compositions.   "
92,Tariq Hisny,1990,,2016-present,,"
Piano
keyboard
vocals
","Tariq was born in Puttalam, North Western Province of Sri Lanka. From a young age, he had shown promise as a singer. During his early days, he used to sing songs as a karaoke artist. He also developed an interest in composing music. He has acknowledged Yuvan Shankar Raja, AR Rahman and Karthik as his inspirations.Tariq learned Carnatic music, western music theory and piano.   ",
93,Tharanga Goonetilleke,,,1998–present,Soprano opera singer,,"Goonetilleke grew up in Ratmalana, Sri Lanka, near the capital Colombo. She first became interested in opera when she was thirteen when she heard soprano Kiri Te Kanawa sing. However, she did not think at that time that opera was a career option. A music professor from Converse College, Douglas Weeks, was visiting Sri Lanka and heard her sing; he subsequently arranged for her admission to the college. She had planned to study medical science in Sri Lanka, but to her surprise, when her father found out about the offer for her to attend Converse College, he thought it was a good idea.Her younger sister Eranga also attended Converse College and afterward obtained her master's degree in Opera and Musical Theater from Southern Illinois University; she is currently a faculty member at Converse College's Lawson Academy of the Arts. Goonetilleke is married, has a daughter, and lives in New York City.   ","In 1998, Goonetilleke made her singing debut with the Symphony Orchestra of Sri Lanka (SOSL), after winning the SOSL concerto vocal competition in 1998. In 2010, she became a member of New York City Opera, and has since performed in numerous operas such as Il trittico, Dialogues of the Carmelites, La bohème, Die Zauberflöte, Iphigénie en Aulide, and Ariodante. She has also performed in concerts in the United States, Europe, India, and South Korea. Her 2011 concert tour in India was considered ""timely"" by the Sri Lankan High Commission in India since it helped foster a cultural dialogue between the two countries.   "
94,Umaria Sinhawansa,1991,,2005–present,Singermusicianperformer,Vocals,"Umaria Sinhawansa was born 5 January 1994, in Colombo, Sri Lanka. She is the daughter of Tony Sinhawansa and Ayesha Sinhawansa who were musicians and Umaria was exposed to music early in her life. Umaria studied at Muslim Ladies College and Gateway International school, Colombo, Sri Lanka. She graduated BA Honours degree In Music and She has diploma in Interior Designing and Videography. She has two older brothers, Subandrio, and Hharthono. Hharthono is also a music producer & entrepreneur. Her older sister Umara Sinhawansa is also a musician. Umaria's grandmother Rani Perera, was an actress in Sri Lankan cinema. She is also a granddaughter of the late songstress and actress Rukmani Devi.   ",
95,Victor Rathnayake,1942,,1958–present,Singercomposer,"Vocals, harmonium, violin"," Rathnayake was born on 18 February 1942 in a small village near Kadugannawa as the third of the family with 10 siblings. His father was Rathnayake Arachchilage Don James. He was popularly known as Rathnayake Veda Mahaththaya, was an apothecary and sang ""noorthi gee,"" a type of Sinhala folk songs. His mother was Abeykoon Mayadunnelage Sumanawathi. Victor was educated at Kadugannawa Junior School and then attended to Kadugannawa Maha Vidyalaya for secondary education.One of his brothers, Somapala Rathnayake was a renowned musician in Sri Lanka, who worked mostly in background music for many Sinhala films and television serials. He died in July 2016 at the age of 70.Rathnayake has one daughter and two sons from first marriage with Chithra Rathnayake. His daughter Chandani is a dancer and a vocalist. His elder son Jayantha Rathnayake is a renowned musician and composer. Jayantha started his music career as the keyboard player in Sihashakthi musical band. Jayantha is married as has one daughter and one son. His younger son Lelum is also a musician and singer who worked in a musical band. On 6 April 2020, his elder son Jayantha Rathnayake died at the age of 52 while receiving treatments at Apeksha Hospital, Maharagama.Rathnayake is currently married to Hashini Amendra, 40 years younger than him. Rathnayake was 75 years old at the marriage. Hashini is a bank employee. In January 2018, Hashini was taken into custody over a jewelry theft. The incident took place while she was employed at a state bank. She was produced in Court and is detained in remand custody.   ","His first music teacher was D.A.D. Dharmadasa. Under the guidance of school music teacher K. M. Sugathapala, Rathnayake performed first in both the 1958 and 1959 solo singing competitions of the All Island Inter-School Musical Competition. Victor got his first instrument at the age of nine when his father presented him a harmonium for his birthday. He studied singing and various instruments under musician Cyril Perera at the M.G.P. Institute in Mulgampola in his teens. In 1963, he began attending the State Music College, now known as the Institute of Aesthetic Studies. He wrote his first song, an ode to Buddha, in 1964; it received play on radio stations run by the Sri Lanka Broadcasting Corporation.In 1969, Rathnayke joined the Ministry of Education as a music instructor, and was assigned to a post at Eththalapitiya Maha Vidyalaya in Bandarawela in 1966. He would later look back to his days as a teacher in his song ""Sihil Sulang Ralle,"" which described the beauty of his surroundings that he noted as he travelled on the train to the school. The lyrics were penned by Sena Weerasekera on Rathnayake's recollections.Rathnayke first recorded a song as a singer for the radio play Manichora by veteran lyricist Piyasena Costa. The song was Devangana Paradana Komala Katha. The first radio disc in Victor's name was in ""Pancha Madhura"" program produced by Madawala S. Peiris. The song Hade Susuman Pathitha Weemen was composed by the musician DR Peiris, written by Dalton Alwis. Then veteran lyricist Arisen Ahubudu wrote two songs for Rathnayake, Sende Binde Mohaduru Paapa and Golu Muhude Muthu Aete. He sang two songs in his maiden musical show as a professional artist. Mahagama Sekara was the first person to introduce Ratnayake into playback singing. Rathnayake sang the song Sara Sonduru Mal Patali with Nanda Malini for the film Hanthane Kathawa.   "
